player_id,player_name,team_name,country,skill_rank,team_join_date
1,Sentinels_P1,Sentinels,INT,Radiant,2024-01-01
2,Sentinels_P2,Sentinels,INT,Radiant,2024-01-01
3,Sentinels_P3,Sentinels,INT,Radiant,2024-01-01
4,Sentinels_P4,Sentinels,INT,Radiant,2024-01-01
5,Sentinels_P5,Sentinels,INT,Radiant,2024-01-01
6,NRG_P1,NRG Esports,INT,Radiant,2024-01-01
7,NRG_P2,NRG Esports,INT,Radiant,2024-01-01
8,NRG_P3,NRG Esports,INT,Radiant,2024-01-01
9,NRG_P4,NRG Esports,INT,Radiant,2024-01-01
10,NRG_P5,NRG Esports,INT,Radiant,2024-01-01
11,100_P1,100 Thieves,INT,Radiant,2024-01-01
12,100_P2,100 Thieves,INT,Radiant,2024-01-01
13,100_P3,100 Thieves,INT,Radiant,2024-01-01
14,100_P4,100 Thieves,INT,Radiant,2024-01-01
15,100_P5,100 Thieves,INT,Radiant,2024-01-01
16,Cloud9_P1,Cloud9,INT,Radiant,2024-01-01
17,Cloud9_P2,Cloud9,INT,Radiant,2024-01-01
18,Cloud9_P3,Cloud9,INT,Radiant,2024-01-01
19,Cloud9_P4,Cloud9,INT,Radiant,2024-01-01
20,Cloud9_P5,Cloud9,INT,Radiant,2024-01-01
21,Evil_P1,Evil Geniuses,INT,Radiant,2024-01-01
22,Evil_P2,Evil Geniuses,INT,Radiant,2024-01-01
23,Evil_P3,Evil Geniuses,INT,Radiant,2024-01-01
24,Evil_P4,Evil Geniuses,INT,Radiant,2024-01-01
25,Evil_P5,Evil Geniuses,INT,Radiant,2024-01-01
26,LOUD_P1,LOUD,INT,Radiant,2024-01-01
27,LOUD_P2,LOUD,INT,Radiant,2024-01-01
28,LOUD_P3,LOUD,INT,Radiant,2024-01-01
29,LOUD_P4,LOUD,INT,Radiant,2024-01-01
30,LOUD_P5,LOUD,INT,Radiant,2024-01-01
31,FURIA_P1,FURIA,INT,Radiant,2024-01-01
32,FURIA_P2,FURIA,INT,Radiant,2024-01-01
33,FURIA_P3,FURIA,INT,Radiant,2024-01-01
34,FURIA_P4,FURIA,INT,Radiant,2024-01-01
35,FURIA_P5,FURIA,INT,Radiant,2024-01-01
36,MIBR_P1,MIBR,INT,Radiant,2024-01-01
37,MIBR_P2,MIBR,INT,Radiant,2024-01-01
38,MIBR_P3,MIBR,INT,Radiant,2024-01-01
39,MIBR_P4,MIBR,INT,Radiant,2024-01-01
40,MIBR_P5,MIBR,INT,Radiant,2024-01-01
41,Leviatán_P1,Leviatán,INT,Radiant,2024-01-01
42,Leviatán_P2,Leviatán,INT,Radiant,2024-01-01
43,Leviatán_P3,Leviatán,INT,Radiant,2024-01-01
44,Leviatán_P4,Leviatán,INT,Radiant,2024-01-01
45,Leviatán_P5,Leviatán,INT,Radiant,2024-01-01
46,KRU_P1,KRÜ Esports,INT,Radiant,2024-01-01
47,KRU_P2,KRÜ Esports,INT,Radiant,2024-01-01
48,KRU_P3,KRÜ Esports,INT,Radiant,2024-01-01
49,KRU_P4,KRÜ Esports,INT,Radiant,2024-01-01
50,KRU_P5,KRÜ Esports,INT,Radiant,2024-01-01
51,G2_P1,G2 Esports,INT,Radiant,2024-01-01
52,G2_P2,G2 Esports,INT,Radiant,2024-01-01
53,G2_P3,G2 Esports,INT,Radiant,2024-01-01
54,G2_P4,G2 Esports,INT,Radiant,2024-01-01
55,G2_P5,G2 Esports,INT,Radiant,2024-01-01
56,The_P1,The Guard,INT,Radiant,2024-01-01
57,The_P2,The Guard,INT,Radiant,2024-01-01
58,The_P3,The Guard,INT,Radiant,2024-01-01
59,The_P4,The Guard,INT,Radiant,2024-01-01
60,The_P5,The Guard,INT,Radiant,2024-01-01
61,M80_P1,M80,INT,Radiant,2024-01-01
62,M80_P2,M80,INT,Radiant,2024-01-01
63,M80_P3,M80,INT,Radiant,2024-01-01
64,M80_P4,M80,INT,Radiant,2024-01-01
65,M80_P5,M80,INT,Radiant,2024-01-01
66,Moist_P1,Moist Moguls,INT,Radiant,2024-01-01
67,Moist_P2,Moist Moguls,INT,Radiant,2024-01-01
68,Moist_P3,Moist Moguls,INT,Radiant,2024-01-01
69,Moist_P4,Moist Moguls,INT,Radiant,2024-01-01
70,Moist_P5,Moist Moguls,INT,Radiant,2024-01-01
71,Oxygen_P1,Oxygen Esports,INT,Radiant,2024-01-01
72,Oxygen_P2,Oxygen Esports,INT,Radiant,2024-01-01
73,Oxygen_P3,Oxygen Esports,INT,Radiant,2024-01-01
74,Oxygen_P4,Oxygen Esports,INT,Radiant,2024-01-01
75,Oxygen_P5,Oxygen Esports,INT,Radiant,2024-01-01
76,Shopify_P1,Shopify Rebellion,INT,Radiant,2024-01-01
77,Shopify_P2,Shopify Rebellion,INT,Radiant,2024-01-01
78,Shopify_P3,Shopify Rebellion,INT,Radiant,2024-01-01
79,Shopify_P4,Shopify Rebellion,INT,Radiant,2024-01-01
80,Shopify_P5,Shopify Rebellion,INT,Radiant,2024-01-01
81,FaZe_P1,FaZe Clan,INT,Radiant,2024-01-01
82,FaZe_P2,FaZe Clan,INT,Radiant,2024-01-01
83,FaZe_P3,FaZe Clan,INT,Radiant,2024-01-01
84,FaZe_P4,FaZe Clan,INT,Radiant,2024-01-01
85,FaZe_P5,FaZe Clan,INT,Radiant,2024-01-01
86,TSM_P1,TSM,INT,Radiant,2024-01-01
87,TSM_P2,TSM,INT,Radiant,2024-01-01
88,TSM_P3,TSM,INT,Radiant,2024-01-01
89,TSM_P4,TSM,INT,Radiant,2024-01-01
90,TSM_P5,TSM,INT,Radiant,2024-01-01
91,Disguised_P1,Disguised,INT,Radiant,2024-01-01
92,Disguised_P2,Disguised,INT,Radiant,2024-01-01
93,Disguised_P3,Disguised,INT,Radiant,2024-01-01
94,Disguised_P4,Disguised,INT,Radiant,2024-01-01
95,Disguised_P5,Disguised,INT,Radiant,2024-01-01
96,9z_P1,9z Team,INT,Radiant,2024-01-01
97,9z_P2,9z Team,INT,Radiant,2024-01-01
98,9z_P3,9z Team,INT,Radiant,2024-01-01
99,9z_P4,9z Team,INT,Radiant,2024-01-01
100,9z_P5,9z Team,INT,Radiant,2024-01-01
101,All_P1,All Knights,INT,Radiant,2024-01-01
102,All_P2,All Knights,INT,Radiant,2024-01-01
103,All_P3,All Knights,INT,Radiant,2024-01-01
104,All_P4,All Knights,INT,Radiant,2024-01-01
105,All_P5,All Knights,INT,Radiant,2024-01-01
106,Fnatic_P1,Fnatic,INT,Radiant,2024-01-01
107,Fnatic_P2,Fnatic,INT,Radiant,2024-01-01
108,Fnatic_P3,Fnatic,INT,Radiant,2024-01-01
109,Fnatic_P4,Fnatic,INT,Radiant,2024-01-01
110,Fnatic_P5,Fnatic,INT,Radiant,2024-01-01
111,Team_P1,Team Liquid,INT,Radiant,2024-01-01
112,Team_P2,Team Liquid,INT,Radiant,2024-01-01
113,Team_P3,Team Liquid,INT,Radiant,2024-01-01
114,Team_P4,Team Liquid,INT,Radiant,2024-01-01
115,Team_P5,Team Liquid,INT,Radiant,2024-01-01
116,Natus_P1,Natus Vincere,INT,Radiant,2024-01-01
117,Natus_P2,Natus Vincere,INT,Radiant,2024-01-01
118,Natus_P3,Natus Vincere,INT,Radiant,2024-01-01
119,Natus_P4,Natus Vincere,INT,Radiant,2024-01-01
120,Natus_P5,Natus Vincere,INT,Radiant,2024-01-01
121,FUT_P1,FUT Esports,INT,Radiant,2024-01-01
122,FUT_P2,FUT Esports,INT,Radiant,2024-01-01
123,FUT_P3,FUT Esports,INT,Radiant,2024-01-01
124,FUT_P4,FUT Esports,INT,Radiant,2024-01-01
125,FUT_P5,FUT Esports,INT,Radiant,2024-01-01
126,Team_P1,Team Vitality,INT,Radiant,2024-01-01
127,Team_P2,Team Vitality,INT,Radiant,2024-01-01
128,Team_P3,Team Vitality,INT,Radiant,2024-01-01
129,Team_P4,Team Vitality,INT,Radiant,2024-01-01
130,Team_P5,Team Vitality,INT,Radiant,2024-01-01
131,Karmine_P1,Karmine Corp,INT,Radiant,2024-01-01
132,Karmine_P2,Karmine Corp,INT,Radiant,2024-01-01
133,Karmine_P3,Karmine Corp,INT,Radiant,2024-01-01
134,Karmine_P4,Karmine Corp,INT,Radiant,2024-01-01
135,Karmine_P5,Karmine Corp,INT,Radiant,2024-01-01
136,BBL_P1,BBL Esports,INT,Radiant,2024-01-01
137,BBL_P2,BBL Esports,INT,Radiant,2024-01-01
138,BBL_P3,BBL Esports,INT,Radiant,2024-01-01
139,BBL_P4,BBL Esports,INT,Radiant,2024-01-01
140,BBL_P5,BBL Esports,INT,Radiant,2024-01-01
141,Giants_P1,Giants Gaming,INT,Radiant,2024-01-01
142,Giants_P2,Giants Gaming,INT,Radiant,2024-01-01
143,Giants_P3,Giants Gaming,INT,Radiant,2024-01-01
144,Giants_P4,Giants Gaming,INT,Radiant,2024-01-01
145,Giants_P5,Giants Gaming,INT,Radiant,2024-01-01
146,Team_P1,Team Heretics,INT,Radiant,2024-01-01
147,Team_P2,Team Heretics,INT,Radiant,2024-01-01
